source,target,relationship,source_type,target_type
Stakeholder Needs and Requirements Definition,Business requirements,AccessRelationship,BusinessFunction,BusinessObject
Decision Management,Prepare for decisions,CompositionRelationship,BusinessFunction,BusinessProcess
Business or Mission Analysis,Manage the business or mission analysis,CompositionRelationship,BusinessFunction,BusinessProcess
Operation,Support the customer,CompositionRelationship,BusinessFunction,BusinessProcess
Quality Assurance,Treat incidents and problems,CompositionRelationship,BusinessFunction,BusinessProcess
Portfolio Management,Define and authorize projects,CompositionRelationship,BusinessFunction,BusinessProcess
Quality Management,Plan quality management,CompositionRelationship,BusinessFunction,BusinessProcess
Stakeholder Needs and Requirements Definition,Transform stakeholder needs into stakeholder requirements,CompositionRelationship,BusinessFunction,BusinessProcess
Transition,Manage results of transition,CompositionRelationship,BusinessFunction,BusinessProcess
Project Planning,Activate the project,CompositionRelationship,BusinessFunction,BusinessProcess
Architecture Definition,Relate the architecture to design,CompositionRelationship,BusinessFunction,BusinessProcess
Verification,Perform verification,CompositionRelationship,BusinessFunction,BusinessProcess
Design Definition,Manage the design,CompositionRelationship,BusinessFunction,BusinessProcess
Decision Management,Analyze the decision information,CompositionRelationship,BusinessFunction,BusinessProcess
Acquisition,Monitor the agreement,CompositionRelationship,BusinessFunction,BusinessProcess
Design Definition,Assess alternatives for obtaining system elements,CompositionRelationship,BusinessFunction,BusinessProcess
Architecture Definition,Develop models and views of candidate architectures,CompositionRelationship,BusinessFunction,BusinessProcess
Project Planning,Define the project,CompositionRelationship,BusinessFunction,BusinessProcess
Disposal,Perform disposal,CompositionRelationship,BusinessFunction,BusinessProcess
Supply,Respond to a tender,CompositionRelationship,BusinessFunction,BusinessProcess
Maintenance,Perform maintenance,CompositionRelationship,BusinessFunction,BusinessProcess
Configuration Management,Pefrorm configuration evaluation,CompositionRelationship,BusinessFunction,BusinessProcess
Architecture Definition,Prepare for architecture definition,CompositionRelationship,BusinessFunction,BusinessProcess
Knowledge Management,"Manage knowledge, skills and knowledge assets",CompositionRelationship,BusinessFunction,BusinessProcess
Architecture Definition,Develop architecture viewpoints,CompositionRelationship,BusinessFunction,BusinessProcess
Quality Assurance,Manage QA records and reports,CompositionRelationship,BusinessFunction,BusinessProcess
Maintenance,Perform logistics support,CompositionRelationship,BusinessFunction,BusinessProcess
Life Cycle Model Management,Improve the process,CompositionRelationship,BusinessFunction,BusinessProcess
System Requirements Definition,Manage system requirements,CompositionRelationship,BusinessFunction,BusinessProcess
Operation,Perform operation,CompositionRelationship,BusinessFunction,BusinessProcess
Stakeholder Needs and Requirements Definition,Define stakeholder needs,CompositionRelationship,BusinessFunction,BusinessProcess
Quality Assurance,Perform product or service evaluation,CompositionRelationship,BusinessFunction,BusinessProcess
Life Cycle Model Management,Assess the process,CompositionRelationship,BusinessFunction,BusinessProcess
Project Assessment and Control,Assess the project,CompositionRelationship,BusinessFunction,BusinessProcess
Information Management,Perform information management,CompositionRelationship,BusinessFunction,BusinessProcess
Verification,Manage results of verification,CompositionRelationship,BusinessFunction,BusinessProcess
Stakeholder Needs and Requirements Definition,Analyze stakeholder requirements,CompositionRelationship,BusinessFunction,BusinessProcess
Disposal,Prepare for disposal,CompositionRelationship,BusinessFunction,BusinessProcess
Design Definition,Prepare for design definition,CompositionRelationship,BusinessFunction,BusinessProcess
Quality Assurance,Perform process evaluations,CompositionRelationship,BusinessFunction,BusinessProcess
Risk Management,Treat risks,CompositionRelationship,BusinessFunction,BusinessProcess
Disposal,Finalize the disposal,CompositionRelationship,BusinessFunction,BusinessProcess
Integration,Manage results of integration,CompositionRelationship,BusinessFunction,BusinessProcess
Validation,Prepare for validation,CompositionRelationship,BusinessFunction,BusinessProcess
Configuration Management,Perform configuration status accounting,CompositionRelationship,BusinessFunction,BusinessProcess
Verification,Prepare for verification,CompositionRelationship,BusinessFunction,BusinessProcess
System Requirements Definition,Define system requirements,CompositionRelationship,BusinessFunction,BusinessProcess
Risk Management,Plan risk management,CompositionRelationship,BusinessFunction,BusinessProcess
Implementation,Prepare for implementation,CompositionRelationship,BusinessFunction,BusinessProcess
Risk Management,Monitor risks,CompositionRelationship,BusinessFunction,BusinessProcess
Configuration Management,Perform configuration change management,CompositionRelationship,BusinessFunction,BusinessProcess
Information Management,Prepare for information management,CompositionRelationship,BusinessFunction,BusinessProcess
Business or Mission Analysis,Prepare for business or mission analysis,CompositionRelationship,BusinessFunction,BusinessProcess
Portfolio Management,Terminate projects,CompositionRelationship,BusinessFunction,BusinessProcess
Risk Management,Analyze risks,CompositionRelationship,BusinessFunction,BusinessProcess
Configuration Management,Plan configuration management,CompositionRelationship,BusinessFunction,BusinessProcess
Stakeholder Needs and Requirements Definition,Prepare for stakeholder needs and requirements definition,CompositionRelationship,BusinessFunction,BusinessProcess
Transition,Perform the transition,CompositionRelationship,BusinessFunction,BusinessProcess
Human Resource Management,Identify skills,CompositionRelationship,BusinessFunction,BusinessProcess
Supply,Establish and maintain an agreement,CompositionRelationship,BusinessFunction,BusinessProcess
Project Assessment and Control,Control the project,CompositionRelationship,BusinessFunction,BusinessProcess
Maintenance,Manage results of maintenance and logistics,CompositionRelationship,BusinessFunction,BusinessProcess
Knowledge Management,Plan knowledge management,CompositionRelationship,BusinessFunction,BusinessProcess
Integration,Prepare for integration,CompositionRelationship,BusinessFunction,BusinessProcess
Risk Management,Manage the risk profile,CompositionRelationship,BusinessFunction,BusinessProcess
Quality Assurance,Prepare for quality assurance,CompositionRelationship,BusinessFunction,BusinessProcess
System Analysis,Prepare for system analysis,CompositionRelationship,BusinessFunction,BusinessProcess
Acquisition,Accept the product or service,CompositionRelationship,BusinessFunction,BusinessProcess
System Requirements Definition,Prepare for system requirements definition,CompositionRelationship,BusinessFunction,BusinessProcess
Acquisition,Advertise the acquisition and select the supplier,CompositionRelationship,BusinessFunction,BusinessProcess
Business or Mission Analysis,Evaluate alternative solution classes,CompositionRelationship,BusinessFunction,BusinessProcess
Integration,Perform integration - Successively integrate system element configurations until the complete system is synthesized,CompositionRelationship,BusinessFunction,BusinessProcess
Implementation,Manage results of implementation,CompositionRelationship,BusinessFunction,BusinessProcess
Acquisition,Establish and maintain the agreement,CompositionRelationship,BusinessFunction,BusinessProcess
Project Planning,Plan project and technical management,CompositionRelationship,BusinessFunction,BusinessProcess
Human Resource Management,Develop skills,CompositionRelationship,BusinessFunction,BusinessProcess
Operation,Manage results of operation,CompositionRelationship,BusinessFunction,BusinessProcess
Quality Management,Perform quality management corrective action and preventive action,CompositionRelationship,BusinessFunction,BusinessProcess
Supply,Prepare for supply,CompositionRelationship,BusinessFunction,BusinessProcess
Life Cycle Model Management,Establish the process,CompositionRelationship,BusinessFunction,BusinessProcess
System Requirements Definition,Analyze system requirements,CompositionRelationship,BusinessFunction,BusinessProcess
Architecture Definition,Assess architecture candidates,CompositionRelationship,BusinessFunction,BusinessProcess
Portfolio Management,Evaluate the portfolio of projects,CompositionRelationship,BusinessFunction,BusinessProcess
Configuration Management,Perform release control,CompositionRelationship,BusinessFunction,BusinessProcess
Stakeholder Needs and Requirements Definition,Develop the operational concept and other lifecycle concepts,CompositionRelationship,BusinessFunction,BusinessProcess
Acquisition,Prepare for the acquisition,CompositionRelationship,BusinessFunction,BusinessProcess
Supply,Deliver and support the product or service,CompositionRelationship,BusinessFunction,BusinessProcess
System Analysis,Perform system analysis,CompositionRelationship,BusinessFunction,BusinessProcess
Transition,Prepare for transition,CompositionRelationship,BusinessFunction,BusinessProcess
Architecture Definition,Manage the selected architecture,CompositionRelationship,BusinessFunction,BusinessProcess
Business or Mission Analysis,Define the problem or opportunity space,CompositionRelationship,BusinessFunction,BusinessProcess
Maintenance,Prepare for maintenance,CompositionRelationship,BusinessFunction,BusinessProcess
Knowledge Management,Share knowledge assets throughout the organization,CompositionRelationship,BusinessFunction,BusinessProcess
Design Definition,Establish design characteristics and design enablers related to each system element,CompositionRelationship,BusinessFunction,BusinessProcess
Infrastructure Management,Maintain the infrastructure,CompositionRelationship,BusinessFunction,BusinessProcess
Validation,Manage results of validation,CompositionRelationship,BusinessFunction,BusinessProcess
Business or Mission Analysis,Characterize the solution space,CompositionRelationship,BusinessFunction,BusinessProcess
Project Assessment and Control,Plan for project assessment and control,CompositionRelationship,BusinessFunction,BusinessProcess
Human Resource Management,Acquire and provide skills,CompositionRelationship,BusinessFunction,BusinessProcess
Supply,Execute the agreement,CompositionRelationship,BusinessFunction,BusinessProcess
Configuration Management,Perform configuration identification,CompositionRelationship,BusinessFunction,BusinessProcess
Knowledge Management,Share knowledge and skills throughout the organization,CompositionRelationship,BusinessFunction,BusinessProcess
Stakeholder Needs and Requirements Definition,Manage the stakeholder needs and requirements definition,CompositionRelationship,BusinessFunction,BusinessProcess
Decision Management,Make and manage decisions,CompositionRelationship,BusinessFunction,BusinessProcess
Infrastructure Management,Establish the infrastructure,CompositionRelationship,BusinessFunction,BusinessProcess
System Analysis,Manage system analysis,CompositionRelationship,BusinessFunction,BusinessProcess
Implementation,Perform implementation,CompositionRelationship,BusinessFunction,BusinessProcess
Measurement,Perform measurement,CompositionRelationship,BusinessFunction,BusinessProcess
Measurement,Prepare for measurement,CompositionRelationship,BusinessFunction,BusinessProcess
Quality Management,Assess quality management,CompositionRelationship,BusinessFunction,BusinessProcess
Validation,Perform validation,CompositionRelationship,BusinessFunction,BusinessProcess
Operation,Prepare for operation,CompositionRelationship,BusinessFunction,BusinessProcess
Enabling system requirements,Transition enabling system requirements,CompositionRelationship,BusinessObject,BusinessObject
Enabling system requirements,Operation enabling system requirements,CompositionRelationship,BusinessObject,BusinessObject
Enabling system requirements,Disposal enabling system requirements,CompositionRelationship,BusinessObject,BusinessObject
Enabling system requirements,Integration enabling system requirements,CompositionRelationship,BusinessObject,BusinessObject
Enabling system requirements,Validation enabling system requirements,CompositionRelationship,BusinessObject,BusinessObject
Enabling system requirements,Verification enabling system requirements,CompositionRelationship,BusinessObject,BusinessObject
Enabling system requirements,Maintenance enabling system requirements,CompositionRelationship,BusinessObject,BusinessObject
Enabling system requirements,Transition enabling system requirements,CompositionRelationship,BusinessObject,BusinessObject
Reports,Risk report,CompositionRelationship,BusinessObject,BusinessObject
Reports,Disposal report,CompositionRelationship,BusinessObject,BusinessObject
Reports,Project status report,CompositionRelationship,BusinessObject,BusinessObject
Reports,Integration report,CompositionRelationship,BusinessObject,BusinessObject
Reports,Quality management report,CompositionRelationship,BusinessObject,BusinessObject
Reports,Supply report,CompositionRelationship,BusinessObject,BusinessObject
Reports,Transition report,CompositionRelationship,BusinessObject,BusinessObject
Reports,Quality management evaluation report,CompositionRelationship,BusinessObject,BusinessObject
Reports,Implementation report,CompositionRelationship,BusinessObject,BusinessObject
Reports,Knowledge management report,CompositionRelationship,BusinessObject,BusinessObject
Reports,Acquisition report,CompositionRelationship,BusinessObject,BusinessObject
Reports,Information management strategy,CompositionRelationship,BusinessObject,BusinessObject
Reports,Quality assurance report,CompositionRelationship,BusinessObject,BusinessObject
Reports,Life cycle model management report,CompositionRelationship,BusinessObject,BusinessObject
Reports,Human resource management report,CompositionRelationship,BusinessObject,BusinessObject
Reports,Measurement report,CompositionRelationship,BusinessObject,BusinessObject
Reports,Maintenance report,CompositionRelationship,BusinessObject,BusinessObject
Reports,Operation report,CompositionRelationship,BusinessObject,BusinessObject
Reports,Quality assurance evaluation report,CompositionRelationship,BusinessObject,BusinessObject
Reports,Quality assurance evaluation report,CompositionRelationship,BusinessObject,BusinessObject
Reports,Portfolio management report,CompositionRelationship,BusinessObject,BusinessObject
Reports,Configuration management report,CompositionRelationship,BusinessObject,BusinessObject
Reports,System analysis report,CompositionRelationship,BusinessObject,BusinessObject
Reports,Decision report,CompositionRelationship,BusinessObject,BusinessObject
Reports,Verification report,CompositionRelationship,BusinessObject,BusinessObject
Reports,Validation report,CompositionRelationship,BusinessObject,BusinessObject
Reports,Infrastructure management report,CompositionRelationship,BusinessObject,BusinessObject
Measurement needs,MOE needs,CompositionRelationship,BusinessObject,BusinessObject
Measurement needs,Bedarf an Leistungsmessungen,CompositionRelationship,BusinessObject,BusinessObject
Measurement needs,Preliminary TPM needs,CompositionRelationship,BusinessObject,BusinessObject
Measurement needs,Preliminary MOE needs,CompositionRelationship,BusinessObject,BusinessObject
Measurement needs,TPM needs,CompositionRelationship,BusinessObject,BusinessObject
Measurement data,Organizational process performance measures data,CompositionRelationship,BusinessObject,BusinessObject
Measurement data,Project performance measures data,CompositionRelationship,BusinessObject,BusinessObject
Measurement data,TPM data,CompositionRelationship,BusinessObject,BusinessObject
Measurement data,MOE data,CompositionRelationship,BusinessObject,BusinessObject
Measurement data,Preliminary MOE data,CompositionRelationship,BusinessObject,BusinessObject
Measurement data,MOP data,CompositionRelationship,BusinessObject,BusinessObject
Measurement data,Preliminary TPM data,CompositionRelationship,BusinessObject,BusinessObject
Life cycle constraints,Integration constraints,CompositionRelationship,BusinessObject,BusinessObject
Life cycle constraints,Maintenance constraints,CompositionRelationship,BusinessObject,BusinessObject
Life cycle constraints,Implementation constraints,CompositionRelationship,BusinessObject,BusinessObject
Life cycle constraints,Transition constraints,CompositionRelationship,BusinessObject,BusinessObject
Life cycle constraints,Verification constraints,CompositionRelationship,BusinessObject,BusinessObject
Life cycle constraints,Validation constraints,CompositionRelationship,BusinessObject,BusinessObject
Life cycle constraints,Operation constraints,CompositionRelationship,BusinessObject,BusinessObject
Life cycle constraints,Disposal constraints,CompositionRelationship,BusinessObject,BusinessObject
Records,Business or mission analysis record,CompositionRelationship,BusinessObject,BusinessObject
Records,Quality assurance record,CompositionRelationship,BusinessObject,BusinessObject
Records,System analysis record,CompositionRelationship,BusinessObject,BusinessObject
Records,Supply record,CompositionRelationship,BusinessObject,BusinessObject
Records,Project planning record,CompositionRelationship,BusinessObject,BusinessObject
Records,Risk record,CompositionRelationship,BusinessObject,BusinessObject
Records,Life cycle model management record,CompositionRelationship,BusinessObject,BusinessObject
Records,Quality management record,CompositionRelationship,BusinessObject,BusinessObject
Records,Validation record,CompositionRelationship,BusinessObject,BusinessObject
Records,Maintenance record,CompositionRelationship,BusinessObject,BusinessObject
Records,Implementation record,CompositionRelationship,BusinessObject,BusinessObject
Records,Stakeholder needs and requirements definition record,CompositionRelationship,BusinessObject,BusinessObject
Records,Verification record,CompositionRelationship,BusinessObject,BusinessObject
Records,System requirements definition record,CompositionRelationship,BusinessObject,BusinessObject
Records,Project assessment and control record,CompositionRelationship,BusinessObject,BusinessObject
Records,Transition record,CompositionRelationship,BusinessObject,BusinessObject
Records,Information management record,CompositionRelationship,BusinessObject,BusinessObject
Records,Portfolio management record,CompositionRelationship,BusinessObject,BusinessObject
Records,Operation record,CompositionRelationship,BusinessObject,BusinessObject
Records,Design definition record,CompositionRelationship,BusinessObject,BusinessObject
Records,Acquisition record,CompositionRelationship,BusinessObject,BusinessObject
Records,Configuration management record,CompositionRelationship,BusinessObject,BusinessObject
Records,Integration record,CompositionRelationship,BusinessObject,BusinessObject
Records,Decision record,CompositionRelationship,BusinessObject,BusinessObject
Records,Measurement record,CompositionRelationship,BusinessObject,BusinessObject
Records,Architecture definition record,CompositionRelationship,BusinessObject,BusinessObject
Records,Human resource management record,CompositionRelationship,BusinessObject,BusinessObject
Records,Disposal record,CompositionRelationship,BusinessObject,BusinessObject
Strategy documents,Acquisition strategy,CompositionRelationship,BusinessObject,BusinessObject
Strategy documents,Configuration management strategy,CompositionRelationship,BusinessObject,BusinessObject
Strategy documents,Organization tailoring strategy,CompositionRelationship,BusinessObject,BusinessObject
Strategy documents,Design definition strategy,CompositionRelationship,BusinessObject,BusinessObject
Strategy documents,Project tailoring strategy,CompositionRelationship,BusinessObject,BusinessObject
Strategy documents,Decision management strategy,CompositionRelationship,BusinessObject,BusinessObject
Strategy documents,Architecture definition strategy,CompositionRelationship,BusinessObject,BusinessObject
Strategy documents,Operation strategy,CompositionRelationship,BusinessObject,BusinessObject
Strategy documents,Information management strategy,CompositionRelationship,BusinessObject,BusinessObject
Strategy documents,Integration strategy,CompositionRelationship,BusinessObject,BusinessObject
Strategy documents,Measurement strategy,CompositionRelationship,BusinessObject,BusinessObject
Strategy documents,Disposal strategy,CompositionRelationship,BusinessObject,BusinessObject
Strategy documents,System requirements definition strategy,CompositionRelationship,BusinessObject,BusinessObject
Strategy documents,Implementation strategy,CompositionRelationship,BusinessObject,BusinessObject
Strategy documents,Validation strategy,CompositionRelationship,BusinessObject,BusinessObject
Strategy documents,Supply strategy,CompositionRelationship,BusinessObject,BusinessObject
Strategy documents,Transition strategy,CompositionRelationship,BusinessObject,BusinessObject
Strategy documents,Risk management strategy,CompositionRelationship,BusinessObject,BusinessObject
Strategy documents,Business or mission analysis strategy,CompositionRelationship,BusinessObject,BusinessObject
Strategy documents,Project assessment and control strategy,CompositionRelationship,BusinessObject,BusinessObject
Strategy documents,Organization strategic plan,CompositionRelationship,BusinessObject,BusinessObject
Strategy documents,Wartungsstrategie,CompositionRelationship,BusinessObject,BusinessObject
Strategy documents,Stakeholder needs and requirements definition strategy,CompositionRelationship,BusinessObject,BusinessObject
Strategy documents,System analysis strategy,CompositionRelationship,BusinessObject,BusinessObject
Strategy documents,Verification strategy,CompositionRelationship,BusinessObject,BusinessObject
Procedures,Disposal procedure,CompositionRelationship,BusinessObject,BusinessObject
Procedures,Installation procedure,CompositionRelationship,BusinessObject,BusinessObject
Procedures,Integration procedure,CompositionRelationship,BusinessObject,BusinessObject
Procedures,Validation procedure,CompositionRelationship,BusinessObject,BusinessObject
Procedures,Verification procedure,CompositionRelationship,BusinessObject,BusinessObject
Procedures,Maintenance procedure,CompositionRelationship,BusinessObject,BusinessObject
System Thinking - Awareness,Explains what “system context” is for a given system of interest and describes why it is important,CompositionRelationship,Grouping,Requirement
System Thinking - Awareness,Explains why it is important to be able to identify and understand what interfaces are,CompositionRelationship,Grouping,Requirement
System Thinking - Awareness,Explains what “systems thinking” is and explains why it is important,CompositionRelationship,Grouping,Requirement
System Thinking - Awareness,"Explains how business, enterprise and technology can each influence the definition and development of the system and vice versa",CompositionRelationship,Grouping,Requirement
System Thinking - Awareness,"Explains what “emergence” is, why it is important, and how it can be “positive” or negative” in its effect upon the system as a whole",CompositionRelationship,Grouping,Requirement
System Thinking - Awareness,Explains why it is important to recognize interactions amongst systems and their elements,CompositionRelationship,Grouping,Requirement
System Thinking - Awareness,"Explains why it may be necessary to approach systems thinking in different ways, depending on the situation, and provides examples",CompositionRelationship,Grouping,Requirement
System Thinking - Awareness,Explains why it is important to understand purpose and functionality of a system of interest,CompositionRelationship,Grouping,Requirement
System Thinking - Awareness,Explains what a “system hierarchy” is and why it is important,CompositionRelationship,Grouping,Requirement
System Thinking - Supervised Practitioner,Identifies the influence of wider enterprise on a project,CompositionRelationship,Grouping,Requirement
System Thinking - Supervised Practitioner,Develops own understanding of this competency area through Continual Professional Development (CPD),CompositionRelationship,Grouping,Requirement
System Thinking - Supervised Practitioner,Defines the properties of a system,CompositionRelationship,Grouping,Requirement
System Thinking - Supervised Practitioner,"Develops their own systems thinking insights to share thinking across the wider project (e.g. working groups, other teams)",CompositionRelationship,Grouping,Requirement
System Thinking - Supervised Practitioner,Defines system characteristics in order to improve understanding of need,CompositionRelationship,Grouping,Requirement
System Thinking - Supervised Practitioner,Uses systems thinking to contribute to enterprise technology development activities,CompositionRelationship,Grouping,Requirement
System Thinking - Supervised Practitioner,Explains how system behavior produces emergent properties,CompositionRelationship,Grouping,Requirement
System Thinking - Supervised Practitioner,Explains why the boundary of a system needs to be managed,CompositionRelationship,Grouping,Requirement
System Thinking - Supervised Practitioner,Uses the principles of system partitioning within system hierarchy on a project,CompositionRelationship,Grouping,Requirement
System Thinking - Practitioner,Identifies enterprise and technology issues affecting the design of a system and addresses them using a systems thinking approach,CompositionRelationship,Grouping,Requirement
System Thinking - Practitioner,"Identifies the interaction between humans and systems, and systems and systems",CompositionRelationship,Grouping,Requirement
System Thinking - Practitioner,Identifies the context of a system from a range of viewpoints including system boundaries and external interfaces,CompositionRelationship,Grouping,Requirement
System Thinking - Practitioner,Uses analysis of a system functions and parts to predict resultant system behavior,CompositionRelationship,Grouping,Requirement
System Thinking - Practitioner,(in addition to those at Supervised Practitioner level),CompositionRelationship,Grouping,Requirement
System Thinking - Practitioner,"Uses appropriate systems thinking approaches to a range of situations, integrating the outcomes to get a full understanding of the whole",CompositionRelationship,Grouping,Requirement
System Thinking - Practitioner,Identifies potential enterprise improvements to enable system development,CompositionRelationship,Grouping,Requirement
System Thinking - Practitioner,Guides team systems thinking activities in order to ensure current activities align to purpose,CompositionRelationship,Grouping,Requirement
System Thinking - Practitioner,Develops existing case studies and examples of systems thinking to apply in new situations,CompositionRelationship,Grouping,Requirement
System Thinking - Practitioner,"Guides new or supervised practitioners in System thinking techniques in order to develop their knowledge, abilities, skills or associated behaviors",CompositionRelationship,Grouping,Requirement
System Thinking - Practitioner,Maintains and enhances own competence in this area through Continual Professional Development (CPD) activities,CompositionRelationship,Grouping,Requirement
System Thinking - Lead Practitioner,Persuades key stakeholders to address enterprise-level issues identified through systems thinking,CompositionRelationship,Grouping,Requirement
System Thinking - Lead Practitioner,"Creates enterprise-level policies, procedures, guidance and best practice for systems thinking, including associated tools",CompositionRelationship,Grouping,Requirement
System Thinking - Lead Practitioner,"Judges the suitability of project-level systems thinking on behalf of the enterprise, to ensure its validity",CompositionRelationship,Grouping,Requirement
System Thinking - Lead Practitioner,"Coaches or mentors practitioners across the enterprise in Systems thinking in order to develop their knowledge, abilities, skills or associated behaviors",CompositionRelationship,Grouping,Requirement
System Thinking - Lead Practitioner,"Promotes the introduction and use of novel techniques and ideas in systems thinking across the enterprise, to improve enterprise competence in this area",CompositionRelationship,Grouping,Requirement
System Thinking - Lead Practitioner,Persuades key enterprise-level stakeholders across the enterprise to support and maintain the technical capability and strategy of the enterprise,CompositionRelationship,Grouping,Requirement
System Thinking - Lead Practitioner,"Adapts existing systems thinking practices on behalf of the enterprise to accommodate novel, complex or difficult system situations or problems",CompositionRelationship,Grouping,Requirement
System Thinking - Lead Practitioner,Develops expertise in this competency area through specialist Continual Professional Development (CPD) activities,CompositionRelationship,Grouping,Requirement
System Thinking - Lead Practitioner,Persuades project stakeholders across the enterprise to improve the suitability of project technical strategies in order to maintain their validity,CompositionRelationship,Grouping,Requirement
System Thinking - Expert,"Champions the introduction of novel techniques and ideas in systems thinking beyond the enterprise boundary, in order to develop the wider Systems Engineering community in this competency",CompositionRelationship,Grouping,Requirement
System Thinking - Expert,Communicates own knowledge and experience in systems thinking in order to improve best practice beyond the enterprise boundary,CompositionRelationship,Grouping,Requirement
System Thinking - Expert,"Coaches individuals beyond the enterprise boundary in systems thinking techniques, in order to further develop their knowledge, abilities, skills or associated behaviors",CompositionRelationship,Grouping,Requirement
System Thinking - Expert,Advises organizations beyond the enterprise boundary on complex or sensitive systems thinking issues,CompositionRelationship,Grouping,Requirement
System Thinking - Expert,Advises organizations beyond the enterprise boundary on the suitability of their approach to systems thinking,CompositionRelationship,Grouping,Requirement
System Thinking - Expert,Influences individuals and activities beyond the enterprise boundary to support the systems thinking approach of their own enterprise,CompositionRelationship,Grouping,Requirement
System Thinking - Expert,Maintains expertise in this competency area through specialist Continual Professional Development (CPD) activities,CompositionRelationship,Grouping,Requirement
Procedures,"Organizational policies, procedures, and assets",CompositionRelationship,BusinessObject,BusinessObject
Architecture Definition,System Thinking,InfluenceRelationship,BusinessFunction,Principle
Architecture Definition,General Engineering,InfluenceRelationship,BusinessFunction,Principle
Architecture Definition,Critical Thinking,InfluenceRelationship,BusinessFunction,Principle
Architecture Definition,System Modelling and Analysis,InfluenceRelationship,BusinessFunction,Principle
Architecture Definition,Lifecycles,InfluenceRelationship,BusinessFunction,Principle
Architecture Definition,Capability Engineering,InfluenceRelationship,BusinessFunction,Principle
Architecture Definition,System Architecting,InfluenceRelationship,BusinessFunction,Principle
Architecture Definition,Operation and Support,InfluenceRelationship,BusinessFunction,Principle
Architecture Definition,Requirements Definition,InfluenceRelationship,BusinessFunction,Principle
Architecture Definition,Integration,InfluenceRelationship,BusinessFunction,Principle
Architecture Definition,Interfaces,InfluenceRelationship,BusinessFunction,Principle
Architecture Definition,Decision Management,InfluenceRelationship,BusinessFunction,Principle
Architecture Definition,Concurrent Engineering,InfluenceRelationship,BusinessFunction,Principle
Architecture Definition,Information Management,InfluenceRelationship,BusinessFunction,Principle
Architecture Definition,Configuration Management,InfluenceRelationship,BusinessFunction,Principle
System Thinking - Awareness,System Thinking,RealizationRelationship,Grouping,Principle
System Thinking - Supervised Practitioner,System Thinking,RealizationRelationship,Grouping,Principle
System Thinking - Practitioner,System Thinking,RealizationRelationship,Grouping,Principle
System Thinking - Lead Practitioner,System Thinking,RealizationRelationship,Grouping,Principle
System Thinking - Expert,System Thinking,RealizationRelationship,Grouping,Principle
